word phonetic definition
flare ['flєә] "n. a shape that spreads outward\nn. a sudden burst of flame\nn. a burst of light used to communicate or illuminate\nn. reddening of the skin spreading outward from a focus of infection or irritation"
flash [flæʃ] "n. a sudden intense burst of radiant energy\nn. a momentary brightness\nn. a short vivid experience\nn. a sudden brilliant understanding"
flashback ['flæʃbæk] "n. a transition (in literary or theatrical works or films) to an earlier event or scene that interrupts the normal chronological development of the story\nn. an unexpected but vivid recurrence of a past experience (especially a recurrence of the effects of an hallucinogenic drug taken much earlier)"
flashing ['flæʃiŋ] "n. sheet metal shaped and attached to a roof for strength and weatherproofing"
flashlight ['flæʃlait] "n. a small portable battery-powered electric lamp"
flashy ['flæʃi] "s. (used especially of clothes) marked by conspicuous display"
flask [flæsk] "n. bottle that has a narrow neck\nn. the quantity a flask will hold"
flat [flæt] "n. a level tract of land\nn. a shallow box in which seedlings are started\nn. a musical notation indicating one half step lower than the note named\nn. a deflated pneumatic tire"
flatly ['flætli] "r. in an unqualified manner"
flatten ['flætn] "v. make flat or flatter\nv. become flat or flatter\nv. lower the pitch of (musical notes)"
flattened ['flætnd] "v make flat or flatter\nv become flat or flatter\nv lower the pitch of (musical notes)\ns having been flattened"
flatter ['flætә] "v. praise somewhat dishonestly"
flattering ['flætәriŋ] "a. showing or representing to advantage"
flattery ['flætәri] "n. excessive or insincere praise"
flaunt [flaunt] "n. the act of displaying something ostentatiously\nv. display proudly; act ostentatiously or pretentiously"
flavor ['fleivә] "n. (physics) the six kinds of quarks"
flavorful ['fleivәfjl] "s. full of flavor"
flaw [flɒ:] "n. defect or weakness in a person's character\nn. an imperfection in a plan or theory or legal document that causes it to fail or that reduces its effectiveness\nv. add a flaw or blemish to; make imperfect or defective"
flawless ['flɒ:lis] "s. without a flaw"
flea [fli:] "n. any wingless bloodsucking parasitic insect noted for ability to leap"
fleck [flek] "n a small fragment of something broken off from the whole\nn a small contrasting part of something\nv make a spot or mark onto"
fledgling ['fledʒliŋ] "n. young bird that has just fledged or become capable of flying\ns. (of a young bird) having acquired its flight feathers\ns. young and inexperienced"
flee [fli:] "v. run away quickly"
fleece [fli:s] "n. the wool of a sheep or similar animal\nn. a soft bulky fabric with deep pile; used chiefly for clothing\nv. shear the wool from"
fleeing [fli:ɪŋ] "v run away quickly"
fleet [fli:t] "n. group of aircraft operating together under the same ownership\nn. group of motor vehicles operating together under the same ownership\nn. a group of steamships operating together under the same ownership\nn. a group of warships organized as a tactical unit"
flesh ['fleʃ] "n. the soft tissue of the body of a vertebrate: mainly muscle tissue and fat\nv. remove adhering flesh from (hides) when preparing leather manufacture"
fleshy ['fleʃi] "s. usually describes a large person who is fat but has a large frame to carry it\na. of or relating to or resembling flesh"
flex ['fleks] "n. the act of flexing\nv. contract\nv. exhibit the strength of\nv. bend a joint"
flexibility [.fleksi'biliti] "n. the property of being flexible; easily bent or shaped\nn. the quality of being adaptable or variable"
flexible ['fleksәbl] "a. capable of being changed\na. able to flex; able to bend easily\ns. bending and snapping back readily without breaking"
flexion ['flekʃәn] "n. act of bending a joint; especially a joint between the bones of a limb so that the angle between them is decreased"
flick [flik] "n. a light sharp contact (usually with something flexible)\nn. a short stroke\nv. look through a book or other written material\nv. twitch or flutter"
flicker ['flikә] "n. a momentary flash of light\nn. North American woodpecker\nv. move back and forth very rapidly\nv. shine unsteadily"
flickering ['flikәriŋ] "s. shining unsteadily"
flier ['flaiә] "n. someone who travels by air"
flight [flait] "n. a formation of aircraft in flight\nn. an instance of traveling by air\nn. a stairway (set of steps) between one floor or landing and the next\nn. an air force unit smaller than a squadron"
flimsy ['flimzi] "s. lacking solidity or strength\ns. lacking substance or significance; a fragile claim to fame"""
flinch [flintʃ] "v. draw back, as with fear or pain"
fling [fliŋ] "n. the act of flinging\nv. throw with force or recklessness\nv. move in an abrupt or headlong manner"
flint [flint] "n. a hard kind of stone; a form of silica more opaque than chalcedony\nn. a river in western Georgia that flows generally south to join the Chattahoochee River at the Florida border where they form the Apalachicola River\nn. a city in southeast central Michigan near Detroit; automobile manufacturing"
flip [flip] "n. hot or cold alcoholic mixed drink containing a beaten egg\nn. a sudden, quick movement\nn. the act of flipping a coin\nn. a dive in which the diver somersaults before entering the water"
flip-flop ['flipflɔp] "n. a backless sandal held to the foot by a thong between the big toe and the second toe\nn. an electronic circuit that can assume either of two stable states\nn. a backward somersault"
flipper ['flipә] "n. a shoe for swimming; the paddle-like front is an aid in swimming (especially underwater)\nn. the flat broad limb of aquatic animals specialized for swimming"
flipping ['flipiŋ] "v lightly throw to see which side comes up\nv cause to go on or to be engaged or set in operation\nv look through a book or other written material\nv toss with a sharp movement so as to cause to turn over in the air\nv cause to move with a flick\nv throw or toss with a light motion\nv move with a flick or light motion\nv turn upside down, or throw so as to reverse\nv react in an excited, delighted, or surprised way\nv go mad, go crazy\nv reverse (a direction, attitude, or course of action)"
flirt [flә:t] "n. playful behavior intended to arouse sexual interest"
flirtation [flә:'teiʃәn] "n playful behavior intended to arouse sexual interest"
flit [flit] "n. a sudden quick movement\nn. a secret move (to avoid paying debts)\nv. move along rapidly and lightly; skim or dart"
float [flәut] "n. the time interval between the deposit of a check in a bank and its payment\nn. the number of shares outstanding and available for trading by the public\nn. an elaborate display mounted on a platform carried by a truck (or pulled by a truck) in a procession or parade\nn. a hand tool with a flat face used for smoothing and finishing the surface of plaster or cement or stucco"
floating ['flәutiŋ] "n. the act of someone who floats on the water\ns. borne up by or suspended in a liquid\ns. inclined to move or be moved about"
flock [flɒk] "n. a church congregation guided by a pastor\nn. a group of birds\nn. a group of sheep or goats\nv. move as a crowd or in a group"
flood [flʌd] "n. the rising of a body of water and its overflowing onto normally dry land\nn. an overwhelming number or amount\nn. light that is a source of artificial illumination having a broad beam; used in photography\nn. a large flow"
flooding ['flʌdiŋ] "n a technique used in behavior therapy; client is flooded with experiences of a particular kind until becoming either averse to them or numbed to them\nv fill quickly beyond capacity; as with a liquid\nv cover with liquid, usually water\nv supply with an excess of\nv become filled to overflowing"
floodplain ['flʌdplein] "n. a low plain adjacent to a river that is formed chiefly of river sediment and is subject to flooding"
floor [flɒ:] "n. the inside lower horizontal surface (as of a room, hallway, tent, or other structure)\nn. a structure consisting of a room or set of rooms at a single position along a vertical scale\nn. a lower limit\nn. the ground on which people and animals move about"
floorboard ['flɔ:bɔ:d] "n. a board in the floor\nn. the floor of an automobile"
flooring ['flɒ:riŋ] "n. building material used in laying floors"
flop [flɒp] "n. someone who is unsuccessful\nn. a complete failure\nn. the act of throwing yourself down\nv. fall loosely"
floppy ['flɒpi] "s. hanging limply"
flora ['flɒ:rә] "n all the plant life in a particular region or period\nn (botany) a living organism lacking the power of locomotion"
floral ['flɒ:rәl] "s. resembling or made of or suggestive of flowers\na. relating to or associated with flowers\na. of or relating to the plant life in a particular region"
Florentine ['flɒ:rәnti:n] "n. a native or resident of Florence, Italy\na. of or relating to or characteristic of the city of Florence"
florist ['flɒrist] "n. someone who grows and deals in flowers\nn. a shop where flowers and ornamental plants are sold"
flounder ['flaundә] "n. flesh of any of various American and European flatfish\nn. any of various European and non-European marine flatfish\nv. behave awkwardly; have difficulties"
flour ['flauә] "n. fine powdery foodstuff obtained by grinding and sifting the meal of a cereal grain\nv. cover with flour\nv. convert grain into flour"
flourish ['flʌriʃ] "n. a showy gesture\nn. an ornamental embellishment in writing\nn. a display of ornamental speech or language\nn. the act of waving"
flourishing ['flʌriʃiŋ] "v grow vigorously\nv make steady progress; be at the high point in one's career or reach a high point in historical significance or importance\nv move or swing back and forth\ns very lively and profitable"
flow [flәu] "n. the motion characteristic of fluids (liquids or gases)\nn. the amount of fluid that flows in a given time\nn. the act of flowing or streaming; continuous progression\nn. any uninterrupted stream or discharge"
flower ['flauә] "n. a plant cultivated for its blooms or blossoms\nn. reproductive organ of angiosperm plants especially one having showy or colorful parts\nn. the period of greatest prosperity or productivity"
flowered ['flauәd] "v produce or yield flowers\ns resembling or made of or suggestive of flowers"
flowering ['flauәriŋ] "a. having a flower or bloom"
flowery ['flauәri] "a. of or relating to or suggestive of flowers\ns. marked by elaborate rhetoric and elaborated with decorative details"
flowing [flәuiŋ] "n the motion characteristic of fluids (liquids or gases)\nv move or progress freely as if in a stream\nv move along, of liquids\nv cause to flow\nv be abundantly present\nv fall or flow in a certain way\nv cover or swamp with water\nv undergo menstruation\ns designed or arranged to offer the least resistant to fluid flow"
flu [flu:] "n an acute febrile highly contagious viral disease"
fluctuate ['flʌktʃueit] "v. cause to fluctuate or move in a wavelike pattern\nv. move or sway in a rising and falling or wavelike pattern\nv. be unstable"
fluctuation [.flʌktʃu'eiʃәn] "n. a wave motion\nn. the quality of being unsteady and subject to changes"
fluency ['flu:әnsi] "n. skillfulness in speaking or writing\nn. the quality of being facile in speech and writing"
fluent ['flu:әnt] "s. smooth and unconstrained in movement"
fluff [flʌf] "n. any light downy material\nn. a blunder (especially an actor's forgetting the lines)"
fluffy ['flʌfi] "s like down or as soft as down"
fluid ['flu:id] "n. a substance that is fluid at room temperature and pressure\nn. continuous amorphous matter that tends to flow and to conform to the outline of its container: a liquid or a gas\ns. subject to change; variable\ns. characteristic of a fluid; capable of flowing and easily changing shape"
fluidity [flu:'iditi] "n. the property of flowing easily\nn. a changeable quality"
fluke [flu:k] "n. a barb on a harpoon or arrow\nn. flat bladelike projection on the arm of an anchor\nn. either of the two lobes of the tail of a cetacean\nn. parasitic flatworms having external suckers for attaching to a host"
flunk [flʌŋk] "n failure to reach a minimum required performance\nv fail to get a passing grade"
fluorescent [.fluә'resәnt] "n. a lighting fixture that uses a fluorescent lamp\ns. emitting light during exposure to radiation from an external source\ns. brilliantly colored and apparently giving off light"
flurry ['flә:ri] "n. a light brief snowfall and gust of wind (or something resembling that)\nv. move in an agitated or confused manner"
flush [flʌʃ] "n. a poker hand with all 5 cards in the same suit\nn. a sudden rapid flow (as of water)\nv. flow freely\nv. glow or cause to glow with warm color or light"
flute [flu:t] "n. a high-pitched woodwind instrument; a slender tube closed at one end with finger holes on one end and an opening near the closed end across which the breath is blown\nn. a tall narrow wineglass\nn. a groove or furrow in cloth etc (particularly a shallow concave groove on the shaft of a column)\nv. form flutes in"
flutter ['flʌtә] "n. abnormally rapid beating of the auricles of the heart (especially in a regular rhythm); can result in heart block\nv. flap the wings rapidly or fly with flapping movements"
fluttering [ˈflʌtərɪŋ] "n the motion made by flapping up and down\nv move along rapidly and lightly; skim or dart\nv move back and forth very rapidly\nv flap the wings rapidly or fly with flapping movements\nv beat rapidly\nv wink briefly"
flux [flʌks] "n. the rate of flow of energy or particles across a given surface\nn. a flow or discharge\nn. a substance added to molten metals to bond with impurities that can then be readily removed\nn. excessive discharge of liquid from a cavity or organ (as in watery diarrhea)"
fly [flai] "n. two-winged insects characterized by active flight\nn. an opening in a garment that is closed by a zipper or by buttons concealed under a fold of cloth\nn. (baseball) a hit that flies up in the air\nn. fisherman's lure consisting of a fishhook decorated to look like an insect"
flyer ['flaiә] "n an advertisement (usually printed on a page or in a leaflet) intended for wide distribution\nn someone who travels by air\nn someone who operates an aircraft\ns (British informal) not to be deceived or hoodwinked"
flying ['flaiiŋ] "s. hurried and brief"
foam [fәum] "n. a mass of small bubbles formed in or on a liquid\nn. a lightweight material in cellular form; made by introducing gas bubbles during manufacture\nv. become bubbly or frothy or foaming"
focal ['fәukl] "s. having or localized centrally at a focus\na. of or relating to a focus"
focus ['fәukәs] "n. the concentration of attention or energy on something\nn. maximum clarity or distinctness of an image rendered by an optical system\nn. maximum clarity or distinctness of an idea\nn. a central point or locus of an infection in an organism"
focused ['fәukәst] "a. being in focus or brought into focus\ns. (of light rays) converging on a point\ns. of an optical system (e.g. eye or opera glasses) adjusted to produce a clear image"
fodder ['fɒdә] "n. coarse food (especially for livestock) composed of entire plants or the leaves and stalks of a cereal crop\nv. give fodder (to domesticated animals)"
foe [fou] "n. a personal enemy"
fog [fɒg] "n. droplets of water vapor suspended in the air near the ground\nn. an atmosphere in which visibility is reduced because of a cloud of some substance"
foggy ['fɒgi] "s stunned or confused and slow to react (as from blows or drunkenness or exhaustion)\ns indistinct or hazy in outline\ns filled or abounding with fog or mist\ns obscured by fog"
foil [fɒil] "n. a piece of thin and flexible sheet metal\nn. anything that serves by contrast to call attention to another thing's good qualities\nn. picture consisting of a positive photograph or drawing on a transparent base; viewed with a projector\nn. a light slender flexible sword tipped by a button"
fold [fәuld] "n. an angular or rounded shape made by folding\nn. a geological process that causes a bend in a stratum of rock\nn. a folded part (as in skin or muscle)\nn. a pen for sheep"
folder ['fәuldә] "n. covering that is folded over to protect the contents"
folding ['fәuldiŋ] "n the process whereby a protein molecule assumes its intricate three-dimensional shape\nn a geological process that causes a bend in a stratum of rock\nn the act of folding\nv bend or lay so that one part covers the other\nv incorporate a food ingredient into a mixture by repeatedly turning it over without stirring or beating\nv cease to operate or cause to cease operating\nv confine in a fold, like sheep\nv become folded or folded up\ns capable of being folded up and stored"
foliage ['fәuliidʒ] "n the main organ of photosynthesis and transpiration in higher plants\nn (architecture) leaf-like architectural ornament"
folk [fәuk] "n. people in general (often used in the plural)"
folklore ['fәuklɒ:] "n. the unwritten lore (stories and proverbs and riddles and songs) of a culture"
follow ['fɒlәu] "v. to travel behind, go after, come after\nv. come as a logical consequence; follow logically\nv. travel along a certain course\nv. come after in time, as a result"
follower ['fɒlәuә] "n. a person who accepts the leadership of another\nn. someone who travels behind or pursues another"
following ['fɒlәuiŋ] "n. a group of followers or enthusiasts\ns. about to be mentioned or specified\ns. immediately following in time or order\na. going or proceeding or coming after in the same direction"
folly ['fɒli] "n. the trait of acting stupidly or rashly\nn. the quality of being rash and foolish\nn. foolish or senseless behavior"
fond [fɒnd] "s. (followed by `of' or `to') having a strong preference or liking for\ns. absurd or silly because unlikely"
fondle ['fɒndl] "v touch or stroke lightly in a loving or endearing manner"
fondly ['fɒndli] "r. with fondness; with love"
fondness ['fɔndnis] "n. a predisposition to like something"
font [fɒnt] "n. a specific size and style of type within a type family"
food [fu:d] "n. any substance that can be metabolized by an animal to give energy and build tissue\nn. any solid substance (as opposed to liquid) that is used as a source of nourishment\nn. anything that provides mental stimulus for thinking"
foodstuff ['fu:dstæf] "n. a substance that can be used or prepared for use as food"
fool [fu:l] "n. a person who lacks good judgment\nv. make a fool or dupe of"
foolish ['fu:liʃ] "a. devoid of good sense or judgment"
foolishly ['fu:liʃli] "r. without good sense or judgment"
foolproof ['fu:lpru:f] "s. not liable to failure"
foot [fut] "n. the part of the leg of a human being below the ankle joint\nn. a linear unit of length equal to 12 inches or a third of a yard\nn. the lower part of anything\nn. any of various organs of locomotion or attachment in invertebrates"
footage ['futidʒ] "n. film that has been shot\nn. a rate of charging by the linear foot of work done"
football ['futbɒ:l] "n. any of various games played with a ball (round or oval) in which two teams try to kick or carry or propel the ball into each other's goal\nn. the inflated oblong ball used in playing American football"
foothill ['futhil] "n. a relatively low hill on the lower slope of a mountain"
foothold ['futhәuld] "n. a place providing support for the foot in standing or climbing"
footing ['futiŋ] "n. status with respect to the relations between people or groups\nn. a relation that provides the foundation for something"
footnote ['futnәut] "n. a printed note placed below the text on a printed page"
footprint ['futprint] "n. a mark of a foot or shoe on a surface\nn. a trace suggesting that something was once present or felt or otherwise important\nn. the area taken up by some object"
footstep ['futstep] "n. the act of taking a step in walking\nn. the distance covered by a step"
footwear ['fjtweә(r)] "n. clothing worn on a person's feet\nn. covering for a person's feet"
for [fɒ:] "prep. In the most general sense, indicating that in consideration\n   of, in view of, or with reference to, which anything is done or takes\n   place.\nprep. Indicating the antecedent cause or occasion of an action;\n   the motive or inducement accompanying and prompting to an act or state;\n   the reason of anything; that on account of which a thing is or is done.\nprep. Indicating the remoter and indirect object of an act; the\n   end or final cause with reference to which anything is, acts, serves,\n   or is done.\nprep. Indicating that in favor of which, or in promoting which,\n   anything is, or is done; hence, in behalf of; in favor of; on the side\n   of; -- opposed to against.\nprep. Indicating that toward which the action of anything is\n   directed, or the point toward which motion is made; /ntending to go to.\nprep. Indicating that on place of or instead of which anything\n   acts or serves, or that to which a substitute, an equivalent, a\n   compensation, or the like, is offered or made; instead of, or place of.\nprep. Indicating that in the character of or as being which\n   anything is regarded or treated; to be, or as being.\nprep. Indicating that instead of which something else controls in\n   the performing of an action, or that in spite of which anything is\n   done, occurs, or is; hence, equivalent to notwithstanding, in spite of;\n   -- generally followed by all, aught, anything, etc.\nprep. Indicating the space or time through which an action or\n   state extends; hence, during; in or through the space or time of.\nprep. Indicating that in prevention of which, or through fear of\n   which, anything is done.\nconj. Because; by reason that; for that; indicating, in Old\n   English, the reason of anything.\nconj. Since; because; introducing a reason of something before\n   advanced, a cause, motive, explanation, justification, or the like, of\n   an action related or a statement made. It is logically nearly\n   equivalent to since, or because, but connects less closely, and is\n   sometimes used as a very general introduction to something suggested by\n   what has gone before.\nn. One who takes, or that which is said on, the affrimative side;\n   that which is said in favor of some one or something; -- the antithesis\n   of against, and commonly used in connection with it."
for-profit ['fɔ:rpr'ɒfɪt] 
forage ['fɒridʒ] "v. wander and feed"
foray ['fɒrei] "n. a sudden short attack\nn. an initial attempt (especially outside your usual areas of competence)\nv. briefly enter enemy territory"
forbid [fә'bid] "v. command against"
forbidden [fә'bidn] "s. excluded from use or mention"
forbidding [fә'bidiŋ] "n an official prohibition or edict against something\nv command against\nv keep from happening or arising; make impossible\ns harshly uninviting or formidable in manner or appearance\ns threatening or foreshadowing evil or tragic developments"
force [fɒ:s] "n. a powerful effect or influence\nn. (physics) the influence that produces a change in a physical quantity\nn. physical energy or intensity\nn. group of people willing to obey orders"
forced [fɒ:st] "a. produced by or subjected to forcing\ns. forced or compelled\ns. made necessary by an unexpected situation or emergency"
forceful ['fɒ:sful] "a. characterized by or full of force or strength (often but not necessarily physical)"
forcibly ['fɒ:sәbli] "r. in a forcible manner"
fore [fɒ:] "a. situated at or toward the bow of a vessel\nr. near or toward the bow of a ship or cockpit of a plane"
forearm ['fɒ:rɑ:m] "n. the part of the superior limb between the elbow and the wrist\nv. arm in advance of a confrontation"
forebear ['fɒ:bєә] "n. a person from whom you are descended"
foreboding [fɒ:'bәudiŋ] "n. a feeling of evil to come\nn. an unfavorable omen"
forecast ['fɒ:kɑ:st] "v. predict in advance"
forecaster ['fɔ:kɑ:stә] "n. someone who makes predictions of the future (usually on the basis of special knowledge)"
foreclose [fɒ:'klәus] "v. subject to foreclosing procedures; take away the right of mortgagors to redeem their mortgage"
foreclosure [fɔ:'klәjʒә(r)] "n. the legal proceedings initiated by a creditor to repossess the collateral for loan that is in default"
forefather ['fɒ:fɑ:ðә] "n. the founder of a family\nn. person from an earlier time who contributed to the tradition shared by some group"
forefinger ['fɒ:fiŋgә] "n the finger next to the thumb"
forefront ['fɒ:frʌnt] "n. the part in the front or nearest the viewer"
forego [fɒ:'gәu] "v be earlier in time; go back further\nv do without or cease to hold or adhere to\nv lose (s.th.) or lose the right to (s.th.) by some error, offense, or crime"
foregoing ['fɒ:'gәuiŋ] "s. especially of writing or speech; going before"
foreground ['fɒ:graund] "n. the part of a scene that is near the viewer\nn. (computer science) a window for an active application\nv. move into the foreground to make more visible or prominent"
forehead ['fɒ:rid] "n the part of the face above the eyes\nn the large cranial bone forming the front part of the cranium: includes the upper part of the orbits"
foreign ['fɒ:rin] "a. of concern to or concerning the affairs of other nations (other than your own)\na. relating to or originating in or characteristic of another place or part of the world"
foreign-born ['fɔrәnbɔ:n] "s. of persons born in another area or country than that lived in"
foreigner ['fɒ:rinә] "n. a person who comes from a foreign country; someone who does not owe allegiance to your country\nn. someone who is excluded from or is not a member of a group"
foreman ['fɒ:mәn] "n. a person who exercises control over workers\nn. a man who is foreperson of a jury"
foremost ['fәumәust] "s. preceding all others in spatial position\ns. situated closest to the bow\nr. prominently forward"
forensic [fә'rensik] "s. of, relating to, or used in public debate or argument\ns. used or applied in the investigation and establishment of facts or evidence in a court of law"
forerunner [fɒ:'rʌnә] "n a person who goes before or announces the coming of another\nn something that precedes and indicates the approach of something or someone\nn anything that precedes something similar in time"
foresee [fɒ:'si:] "v realize beforehand\nv picture to oneself; imagine possible\nv act in advance of; deal with ahead of time"
foreseeable ['fɒ:'si:әbl] "s. capable of being anticipated"
foreshadow [fɒ:'ʃædәu] "v indicate by signs"
foresight ['fɒ:sait] "n. providence by virtue of planning prudently for the future"
forest ['fɒrist] "n. the trees and other plants in a large densely wooded area\nn. land that is covered with trees and shrubs"
forestall [fɒ:'stɒ:l] "v keep from happening or arising; make impossible\nv act in advance of; deal with ahead of time"
forester ['fɔristә] "n. English writer of adventure novels featuring Captain Horatio Hornblower (1899-1966)\nn. someone trained in forestry"
forestry ['fɒristri] "n. the science of planting and caring for forests and the management of growing timber"
forever [fә'revә] "r. for a very long or seemingly endless time"
forfeit ['fɒ:fit] "n. something that is lost or surrendered as a penalty; \nn. a penalty for a fault or mistake that involves losing or giving up something\nn. the act of losing or surrendering something as a penalty for a mistake or fault or failure to perform etc.\nv. lose (s.th.) or lose the right to (s.th.) by some error, offense, or crime"
forge [fɒ:dʒ] "n. furnace consisting of a special hearth where metal is heated before shaping\nn. a workplace where metal is worked by heating and hammering\nv. create by hammering\nv. make a copy of with the intent to deceive"
forgery ['fɒ:dʒәri] "n. criminal falsification by making or altering an instrument with intent to defraud"
forget [fә'get] "v. dismiss from the mind; stop remembering\nv. be unable to remember\nv. forget to do something\nv. leave behind unintentionally"
forgive [fә'giv] "v. stop blaming or grant forgiveness\nv. absolve from payment"
forgiveness [fә'givnis] "n. compassionate feelings that support a willingness to forgive\nn. the act of excusing a mistake or offense"
forgiving [fә'giviŋ] "a. inclined or able to forgive and show mercy"
forgo [fɒ:'gәu] "v do without or cease to hold or adhere to\nv be earlier in time; go back further\nv lose (s.th.) or lose the right to (s.th.) by some error, offense, or crime"
forgotten [fә'gɒtn] "v dismiss from the mind; stop remembering\nv be unable to remember\nv forget to do something\nv leave behind unintentionally\ns not noticed inadvertently"
fork [fɒ:k] "n. cutlery used for serving and eating food\nn. the region of the angle formed by the junction of two branches\nn. an agricultural tool used for lifting or digging; has a handle and metal prongs\nv. place under attack with one's own pieces, of two enemy pieces"
forlorn [fә'lɒ:n] "s. marked by or showing hopelessness"
form [fɒ:m] "n. the phonological or orthographic sound or appearance of a word that can be used to describe or identify something\nn. a perceptual structure\nn. the visual appearance of something or someone\nn. a printed document with spaces in which to write"
formal ['fɒ:mәl] "a. being in accord with established forms and conventions and requirements (as e.g. of formal dress)\ns. characteristic of or befitting a person in authority\na. (of spoken and written language) adhering to traditional standards of correctness and without casual, contracted, and colloquial forms\ns. logically deductive"
formality [fɒ:'mæliti] "n. a requirement of etiquette or custom\nn. a manner that strictly observes all forms and ceremonies\nn. compliance with formal rules"
formalize ['fɒ:mәlaiz] "v. make formal or official"
formally ['fɒ:mәli] "r. with official authorization\nr. in a formal manner"
format ['fɒ:mæt] "n. the organization of information according to preset specifications (usually for computer processing)\nn. the general appearance of a publication\nv. set (printed matter) into a specific format\nv. determine the arrangement of (data) for storage and display (in computer science)"
formation [fɒ:'meiʃәn] "n. an arrangement of people or things acting as a unit\nn. the act of fabricating something in a particular shape\nn. a particular spatial arrangement\nn. natural process that causes something to form"
formative ['fɒ:mәtiv] "n. minimal language unit that has a syntactic (or morphological) function\ns. capable of forming new cells and tissues\ns. forming or capable of forming or molding or fashioning"
former ['fɒ:mә] "n. the first of two or the first mentioned of two\na. referring to the first of two things or persons mentioned (or the earlier one or ones of several); I prefer the former version to the latter one""\ns. (used especially of persons) of the immediate past"
formerly ['fɒ:mәli] "r at a previous time; "
formidable ['fɒ:midәbl] "s. extremely impressive in strength or excellence\ns. inspiring fear"
formula ['fɒ:mjulә] "n. a group of symbols that make a mathematical statement\nn. a conventionalized statement expressing some fundamental principle\nn. a representation of a substance using symbols for its constituent elements\nn. a liquid food for infants"
formulate ['fɒ:mjuleit] "v. prepare according to a formula"
formulation [.fɒ:mju'leiʃәn] "n. a substance prepared according to a formula\nn. the style of expressing yourself"
forsake [fә'seik] "v leave someone who needs or counts on you; leave in the lurch"
fort [fɒ:t] "v. gather in, or as if in, a fort, as for protection or defense\nv. station (troops) in a fort"
forth [fɒ:θ] "n. a river in southern Scotland that flows eastward to the Firth of Forth\nr. forward in time or order or degree\nr. out into view"
forthcoming ['fɒ:θ'kʌmɑŋ] "s. available when required or as promised"
forthright [fɒ:θ'rait] "s characterized by directness in manner or speech; without subtlety or evasion\nr directly and without evasion; not roundabout"
fortification [.fɒ:tifi'keiʃәn] "n. defensive structure consisting of walls or mounds built around a stronghold to strengthen it\nn. the art or science of strengthening defenses\nn. the addition of an ingredient for the purpose of enrichment (as the addition of alcohol to wine or the addition of vitamins to food)"
fortified ['fɒ:tifaid] "s. having something added to increase the strength"
fortify ['fɒ:tifai] "v. enclose by or as if by a fortification\nv. add nutrients to"
fortitude ['fɒ:titju:d] "n. strength of mind that enables one to endure adversity with courage"
fortress ['fɒ:tris] "n. a fortified defensive structure"
fortunate ['fɒ:tʃәnit] "a. having unexpected good fortune\ns. supremely favored\ns. presaging good fortune"
fortunately ['fɒitʃәnitli] "r. by good fortune"
fortune ['fɒ:tʃәn] "n. a large amount of wealth or prosperity\nn. your overall circumstances or condition in life (including everything that happens to you)"
forty ['fɒ:ti] "n. the cardinal number that is the product of ten and four\ns. being ten more than thirty"
forty-eight ['fɔ:ti'eit] "s being eight more than forty"
forty-one ['fɔ:tɪˌwʌn] "s being one more than forty"
forty-two ['fɔ:ti:t'u:] "s being two more than forty"
forum ['fɒ:rәm] "n. a public meeting or assembly for open discussion\nn. a public facility to meet for open discussion"
forward ['fɒ:wәd] "n. the person who plays the position of forward in certain games, such as basketball, soccer, or hockey\nn. a position on a basketball, soccer, or hockey team\nv. send or ship onward from an intermediate post or station in transit\na. at or near or directed toward the front"
forwards ['fɔ:wәdz] "n the person who plays the position of forward in certain games, such as basketball, soccer, or hockey\nn a position on a basketball, soccer, or hockey team\nv send or ship onward from an intermediate post or station in transit\nr at or to or toward the front; (`forrad' and `forrard' are dialectal variations)\nr in a forward direction"
fossil ['fɒsәl] "n. the remains (or an impression) of a plant or animal that existed in a past geological age and that has been excavated from the soil\na. characteristic of a fossil"
foster ['fɒstә] "n. United States songwriter whose songs embody the sentiment of the South before the American Civil War (1826-1864)\nv. promote the growth of\nv. bring up under fosterage; of children\nv. help develop, help grow"
foul [faul] "n. an act that violates the rules of a sport\nv. hit a foul ball\nv. commit a foul; break the rules\nv. spot, stain, or pollute"
found [faund] "n. food and lodging provided in addition to money\na. come upon unexpectedly or after searching"
foundation [faun'deiʃәn] "n. the basis on which something is grounded\nn. an institution supported by an endowment\nn. lowest support of a structure\nn. education or instruction in the fundamentals of a field of knowledge"
founder ['faundә] "n. a person who founds or establishes some institution\nn. a worker who makes metal castings\nv. sink below the surface\nv. stumble and nearly fall"
founding ['faundiŋ] "n the act of starting something for the first time; introducing something new\nv set up or found\nv set up or lay the groundwork for\nv use as a basis for; found on"
foundry ['faundri] "n. factory where metal castings are produced"
fountain ['fauntin] "n. a structure from which an artificially produced jet of water arises\nn. an artificially produced flow of water\nn. a plumbing fixture that provides a flow of water"
four [fɒ:] "n. the cardinal number that is the sum of three and one\ns. being one more than three"
four-star ['fɔ:'stɑ:(r)] 
foursome ['fɒ:sәm] "n four people considered as a unit\nn the cardinal number that is the sum of three and one"
fourteen ['fɒ:'ti:n] "n. the cardinal number that is the sum of thirteen and one\ns. being one more than thirteen"
fourteenth ['fɒ:'ti:nθ] "n. position 14 in a countable series of things\ns. coming next after the thirteenth in position"
fourth [fɒ:θ] "n. following the third position; number four in a countable series\nn. the musical interval between one note and another four notes away from it\ns. coming next after the third and just before the fifth in position or time or degree or magnitude"
fowl [faul] "v. hunt fowl\nv. hunt fowl in the forest"
